start_jst,home_away,opponent,week,season_type
2021-10-18 02:00,away,CHI,6,REG
2021-10-25 02:00,home,WAS,7,REG
2021-10-29 09:20,away,ARI,8,REG
2021-11-08 06:25,away,KC,9,REG
2021-11-15 06:25,home,SEA,10,REG
2021-11-22 03:00,away,MIN,11,REG
2021-11-29 06:25,home,LA,12,REG
2021-12-13 10:20,home,CHI,14,REG
2021-12-20 06:25,away,BAL,15,REG
2021-12-26 06:30,home,CLE,16,REG
2022-01-03 10:20,home,MIN,17,REG
2022-01-10 03:00,away,DET,18,REG
2022-01-23 10:15,home,SF,20,DIV
2022-09-12 05:25,away,MIN,1,REG
2022-09-19 09:20,home,CHI,2,REG
2022-09-26 05:25,away,TB,3,REG
2022-10-03 05:25,home,NE,4,REG
2022-10-09 22:30,home,NYG,5,REG
2022-10-17 02:00,home,NYJ,6,REG
2022-10-24 02:00,away,WAS,7,REG
2022-10-31 09:20,away,BUF,8,REG
2022-11-07 03:00,away,DET,9,REG
2022-11-14 06:25,home,DAL,10,REG
2022-11-18 10:15,home,TEN,11,REG
2022-11-28 10:20,away,PHI,12,REG
2022-12-05 03:00,away,CHI,13,REG
2022-12-20 10:15,home,LA,15,REG
2022-12-26 03:00,away,MIA,16,REG
2023-01-02 06:25,home,MIN,17,REG
2023-01-09 10:20,home,DET,18,REG
2023-09-11 05:25,away,CHI,1,REG
2023-09-18 02:00,away,ATL,2,REG
2023-09-25 02:00,home,NO,3,REG
2023-09-29 09:15,home,DET,4,REG
2023-10-10 09:15,away,LV,5,REG
2023-10-23 05:25,away,DEN,7,REG
2023-10-30 02:00,home,MIN,8,REG
2023-11-06 03:00,home,LA,9,REG
2023-11-13 03:00,away,PIT,10,REG
2023-11-20 03:00,home,LAC,11,REG
2023-11-24 02:30,away,DET,12,REG
2023-12-04 10:20,home,KC,13,REG
2023-12-12 10:15,away,NYG,14,REG
2023-12-18 03:00,home,TB,15,REG
2023-12-25 03:00,away,CAR,16,REG
2024-01-01 10:20,away,MIN,17,REG
2024-01-08 06:25,home,CHI,18,REG
2024-01-15 06:30,away,DAL,19,WC
2024-01-21 10:15,away,SF,20,DIV
2024-09-07 09:15,away,PHI,1,REG
2024-09-16 02:00,home,IND,2,REG
2024-09-23 02:00,away,TEN,3,REG
2024-09-30 02:00,home,MIN,4,REG
2024-10-07 05:25,away,LA,5,REG
2024-10-14 02:00,home,ARI,6,REG
2024-10-21 02:00,home,HOU,7,REG
2024-10-28 02:00,away,JAX,8,REG
2024-11-04 06:25,home,DET,9,REG
2024-11-18 03:00,away,CHI,11,REG
2024-11-25 06:25,home,SF,12,REG
2024-11-29 10:20,home,MIA,13,REG
2024-12-06 10:15,away,DET,14,REG
2024-12-16 10:20,away,SEA,15,REG
2024-12-24 10:15,home,NO,16,REG
2024-12-30 06:25,away,MIN,17,REG
2025-01-06 03:00,home,CHI,18,REG
2025-01-13 06:30,away,PHI,19,WC
2025-09-08 05:25,home,DET,1,REG
